Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
81,wavm,A High Performance XuperChain WASM Virtual Machine based on WAVM,23,3,2019-07-08T15:45:49Z,https://github.com/xuperchain/wavm
82,mandelbrot-threaded-webassembly,A simple demonstration of WebAssembly threads,41,4,2023-08-02T07:41:07Z,https://github.com/ColinEberhardt/mandelbrot-threaded-webassembly
83,wasm-anyref-demo,Playing around with WebAssembly (Wasm) anyref using JavaScript's GC as the allocator,21,4,2022-12-04T05:57:44Z,https://github.com/jayphelps/wasm-anyref-demo
84,as-bind,Isomorphic library to handle passing high-level data structures between AssemblyScript and JavaScript 🤝🚀,236,23,2024-01-21T09:47:18Z,https://github.com/torch2424/as-bind
85,module-linking,"Proposal for allowing modules to define, import and export modules and instances",119,13,2022-05-01T20:17:59Z,https://github.com/WebAssembly/module-linking
86,slumps,Cool code analysis research for WebAssembly,63,10,2023-05-19T07:24:32Z,https://github.com/ASSERT-KTH/slumps
87,multi-memory,Multiple per-module memories for Wasm,117,13,2023-07-13T10:10:25Z,https://github.com/WebAssembly/multi-memory
88,wassail,wassail (WebAssembly static analyzer and inspection library) is a toolkit to perform both lightweight and heavyweight static analysis of WebAssembly modules.,41,7,2024-02-15T20:38:35Z,https://github.com/acieroid/wassail
89,old-docs.wasmer.io,Wasmer Documentation (for standalone and embedded use cases),41,36,2023-05-08T02:26:19Z,https://github.com/wasmerio/old-docs.wasmer.io
90,worker-assemblyscript-template,A Cloudflare wrangler template for a AssemblyScript worker,21,3,2023-01-07T11:11:07Z,https://github.com/JamesLMilner/worker-assemblyscript-template
91,rust-samples,,103,20,2024-05-16T14:10:07Z,https://github.com/rstropek/rust-samples
92,io-devices-lib,Library for interacting with the Wasmer Experimental IO Devices,52,5,2023-05-07T10:44:06Z,https://github.com/wasmerio/io-devices-lib
93,KWasm,"Embeddable WebAssembly Interpreter for the JVM, written in Kotlin",33,3,2021-04-19T17:09:59Z,https://github.com/jasonwyatt/KWasm
94,wizard-engine,Research WebAssembly Engine,329,25,2024-06-11T15:32:56Z,https://github.com/titzer/wizard-engine
95,spine-raylib-runtimes,Raylib implementation of the C spine runtimes.,41,5,2021-08-12T14:17:50Z,https://github.com/WEREMSOFT/spine-raylib-runtimes
96,wasm-fingerprint,"🖖 Fast, small, reliable, embeddable browser canvas fingerprinting implemented in WebAssembly. ",99,15,2020-02-04T03:37:39Z,https://github.com/drbh/wasm-fingerprint
97,memory64,Memory with 64-bit indexes,187,21,2024-06-10T21:11:27Z,https://github.com/WebAssembly/memory64
98,envoy-experiments,Experiments with Envoy Proxy,35,12,2021-03-04T15:14:06Z,https://github.com/nicholasjackson/envoy-experiments
99,as-benchmarks,:hourglass_flowing_sand:  :milky_way: AssemblyScript Benchmarks ,30,1,2023-06-25T03:20:36Z,https://github.com/nischayv/as-benchmarks
100,EXACT,A Bare-Metal Intel 8086 Emulator Written in Raw WebAssembly.,30,3,2021-12-30T19:30:42Z,https://github.com/Thraetaona/EXACT
101,examples,A collection of AssemblyScript examples.,280,49,2022-08-22T09:40:27Z,https://github.com/AssemblyScript/examples
102,flexible-vectors,Vector operations for WebAssembly,43,8,2024-04-08T21:32:34Z,https://github.com/WebAssembly/flexible-vectors
103,wasm-binary-security,,74,4,2022-06-13T10:34:25Z,https://github.com/sola-st/wasm-binary-security
104,wasm-fun,Non-trivial programs in hand-written WebAssembly,77,5,2020-08-26T01:54:33Z,https://github.com/LingDong-/wasm-fun
105,Basis-Universal-Transcoders,A collection of optimized WebAssembly transcoders for Basis Universal compressed GPU texture formats.,90,9,2023-07-17T12:09:33Z,https://github.com/KhronosGroup/Basis-Universal-Transcoders
106,VectorVisor,"VectorVisor is a vectorizing binary translator for GPUs, designed to make it easy to run many copies of a single-threaded WebAssembly program in parallel using GPUs",139,3,2024-04-07T03:47:25Z,https://github.com/SamGinzburg/VectorVisor
107,MultiVAC,All-dimensional Sharding Flexible Blockchain,130,43,2022-01-15T14:26:50Z,https://github.com/multivactech/MultiVAC
108,web3.learning,web3 projects source code reading notes,100,32,2024-03-08T03:03:29Z,https://github.com/xiaoyu1998/web3.learning
109,WebAssembly-Guide,WebAssembly Guide,21,1,2022-01-03T22:27:34Z,https://github.com/mikeroyal/WebAssembly-Guide
110,intro-to-web-assembly,,36,16,2024-05-27T19:16:14Z,https://github.com/young/intro-to-web-assembly
111,wasm3_dino_rpi_pico,WebAssembly Dino game for PPi Pico,44,5,2021-04-30T10:00:19Z,https://github.com/vshymanskyy/wasm3_dino_rpi_pico
112,relaxed-simd,Relax the strict determinism requirements of SIMD operations.,37,6,2024-05-10T07:27:05Z,https://github.com/WebAssembly/relaxed-simd
113,stack-switching,A repository for the stack switching proposal.,113,11,2024-05-30T20:19:36Z,https://github.com/WebAssembly/stack-switching
114,ArtOfWasm,"Code repo for ""The Art of WebAssembly"" by Rick Battagline",59,8,2022-02-15T00:12:29Z,https://github.com/battlelinegames/ArtOfWasm
115,wasp,Wasm System Plugins for Go,36,1,2021-04-29T09:09:39Z,https://github.com/nicholasjackson/wasp
116,subwasm,Subwasm is a cli utility to look inside a Substrate WASM Runtime. It can inspect and compare the metadata of Substrate based runtimes such as Polkadot or Kusama.,60,24,2024-06-11T14:17:20Z,https://github.com/chevdor/subwasm
117,xhlove-share,,24,9,2023-03-11T15:24:50Z,https://github.com/xhlove/xhlove-share
118,js-promise-integration,JavaScript Promise Integration,55,13,2024-05-30T18:11:13Z,https://github.com/WebAssembly/js-promise-integration
119,circom,zkSnark circuit compiler,1212,224,2024-05-22T19:47:08Z,https://github.com/iden3/circom
120,c4wa,A simplified subset of C transpiled into Web Assembly,21,2,2022-01-29T06:17:26Z,https://github.com/kign/c4wa
121,scheme,An R7RS Scheme implemented in WebAssembly ,165,5,2023-05-02T06:27:44Z,https://github.com/PollRobots/scheme
122,IchigoLisp,LISP 1.5(-ish) implementation in WebAssembly,42,1,2023-04-09T06:57:14Z,https://github.com/zick/IchigoLisp
123,provably-safe-sandboxing-wasm-usenix22,"Top-level companion software artifact for the paper ""Provably-Safe Multilingual Software Sandboxing using WebAssembly""",36,1,2022-08-30T18:17:36Z,https://github.com/secure-foundations/provably-safe-sandboxing-wasm-usenix22
124,practice-wasm,A WebAssembly VM with a full-featured Web UI debugger implemented in Rust.,103,6,2023-09-06T17:13:09Z,https://github.com/hemashushu/practice-wasm
125,stringref,,34,2,2023-03-28T13:09:20Z,https://github.com/WebAssembly/stringref
126,quickjs-wasm-near,QuickJS compiled to WebAssembly and a Web application for creating writing Javascript on top of NEAR Rust smart contracts,22,2,2024-02-21T21:32:59Z,https://github.com/petersalomonsen/quickjs-wasm-near
127,wasi-threads,,127,8,2024-01-02T08:01:42Z,https://github.com/WebAssembly/wasi-threads
128,wasm-opt-rs,Rust bindings for Binaryen's wasm-opt,60,9,2024-03-31T11:55:41Z,https://github.com/brson/wasm-opt-rs
129,walrus,WebAssembly Lightweight RUntime,32,10,2024-06-12T07:45:40Z,https://github.com/Samsung/walrus
130,Web49,Web49: WebAssembly Interpeter,324,14,2023-05-15T12:27:32Z,https://github.com/FastVM/Web49
131,wasm-tutorial,Introduction to WASM assembly,69,4,2023-01-29T11:57:03Z,https://github.com/Evian-Zhang/wasm-tutorial
132,wasm-wat-samples,Samples of WebAssembly Text programs,119,4,2023-09-23T13:55:10Z,https://github.com/eliben/wasm-wat-samples
133,shared-everything-threads,A draft proposal for spawning threads in WebAssembly,22,1,2024-06-11T17:59:29Z,https://github.com/WebAssembly/shared-everything-threads
134,hcaptcha-reverse,Reverse engineered hcaptcha.,72,22,2024-05-30T06:27:21Z,https://github.com/Implex-ltd/hcaptcha-reverse
135,uxn.wasm,WebAssembly implementation of the Uxn virtual machine,31,1,2024-03-19T18:58:35Z,https://github.com/remko/uxn.wasm
